Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,Continent,% Deaths COVID/Population,Date vaccinated update,Fully vaccinated,% Fully vaccinated,Year_GDP_update,GDP_Annual (M),Temperature_1961_1990
HUNGARY,879092,+2595,30994,+74,801690,+894,46408,350,3219,7477324,9627553,Europe,0.32,02/11/2021,5736378,0.59,2020,136622,09.75
JORDAN,868493,+2042,11077,+15,834956,+1217,22460,613,1071,11078341,10338408,Asia,0.11,02/11/2021,3534187,0.35,2020,38257,18.30
AUSTRIA,847408,+6506,11400,+20,784088,+4035,51920,333,1256,98418811,9075059,Europe,0.13,02/11/2021,5622580,0.63,2020,379321,06.35
NEPAL,813828,+395,11434,+7,793271,+439,9123,,383,4441934,29835947,Asia,0.04,02/11/2021,6647322,0.23,2020,29752,08.10
GREECE,760592,+6141,16109,+59,695078,+3481,49405,431,1556,26742053,10354970,Europe,0.16,02/11/2021,6379804,0.6,2020,165326,15.40
UAE,740136,+79,2137,,734450,+102,3549,,213,94205731,10049950,Asia,0.02,02/11/2021,8683700,0.94,2020,314191,
GEORGIA,732965,+6024,10185,+49,673640,+3818,49140,,2560,10359197,3978929,Asia,0.26,02/11/2021,907106,0.24,2020,13913,05.80
TUNISIA,712880,,25250,,686340,,1290,68,2107,3080602,11983766,Africa,0.21,02/11/2021,4516636,0.38,2020,34336,19.20
LEBANON,643047,,8515,,617459,,17073,200,1255,4780275,6784572,Asia,0.13,02/11/2021,1534632,0.22,2020,29227,16.40
BULGARIA,614362,,24454,,484365,,105543,696,3555,5666674,6878485,Europe,0.36,02/11/2021,1518989,0.22,2020,61331,10.55
BELARUS,606033,+1996,4679,+17,580025,+2543,21329,,495,9712550,9445168,Europe,0.05,02/11/2021,2006423,0.21,2020,52706,06.15
GUATEMALA,601793,,15179,,581826,,4788,5,827,2912218,18357664,North America,0.08,02/11/2021,3265017,0.18,2020,67942,23.45
COSTA RICA,561054,,7093,,505709,,48252,244,1376,2544016,5156248,North America,0.14,02/11/2021,2527143,0.49,2020,54135,24.80
SAUDI ARABIA,548760,+49,8799,+1,537690,+37,2271,57,248,30429213,35537427,Asia,0.02,02/11/2021,21558040,0.62,2020,612956,24.65
SRI LANKA,542793,+581,13791,+21,513880,+340,15122,,640,5381256,21533228,Asia,0.06,02/11/2021,13319379,0.61,2020,70659,26.95
AZERBAIJAN,537004,+2256,7153,+21,499571,+2208,30280,,697,5227688,10261240,Asia,0.07,02/11/2021,4402511,0.44,2020,37303,11.95
ECUADOR,515859,,32958,,443880,,39021,759,1831,1917796,18000607,South America,0.18,02/11/2021,10090387,0.58,2020,86507,21.85
BOLIVIA,514679,+387,18936,+6,476985,+533,18758,220,1593,2550105,11885574,South America,0.16,02/11/2021,3861325,0.33,2020,32253,21.55
SLOVAKIA,493277,+5361,13112,+36,430138,+3449,50027,320,2400,3997098,5463177,Europe,0.24,02/11/2021,2302091,0.42,2020,92079,06.80
CROATIA,476832,+4573,9332,+41,444800,+2394,22700,198,2292,3126230,4071409,Europe,0.23,02/11/2021,1798069,0.45,2020,50190,10.90
PANAMA,472877,,7315,,463542,,2020,49,1660,4085594,4405410,North America,0.17,02/11/2021,2378778,0.56,2020,46347,25.40
PARAGUAY,461132,,16250,,444597,,285,21,2242,1898864,7249512,South America,0.22,02/11/2021,2361819,0.33,2020,30909,23.55
IRELAND,455346,+3174,5492,+56,389083,+893,60771,86,1096,8019575,5011437,Europe,0.11,02/11/2021,3747419,0.75,2020,372869,09.30
PALESTINE,424153,,4426,,415103,,4624,61,842,2645456,5259504,Asia,0.08,02/11/2021,43880,0.01,2020,13624,
LITHUANIA,414817,+2032,5971,+32,365466,+792,43380,213,2235,5635950,2671466,Europe,0.22,02/11/2021,1724281,0.62,2020,49507,06.20
KUWAIT,412752,+21,2462,,409957,+38,333,6,565,4877540,4354866,Asia,0.06,02/11/2021,923307,0.2,2020,92759,25.35
VENEZUELA,408727,,4915,,393040,,10772,681,174,3359014,28328211,South America,0.02,02/11/2021,6190629,0.22,2018,83319,25.35
URUGUAY,394248,,6080,,385851,,2317,26,1742,3851003,3489819,South America,0.17,02/11/2021,2621389,0.75,2020,49533,17.55
DENMARK,393199,+1978,2717,+1,368820,+1121,21662,30,467,86377370,5819461,Europe,0.05,02/11/2021,4413327,0.76,2020,312517,07.50
DOMINICAN REPUBLIC,384208,+891,4144,+6,375207,+1525,4857,269,377,2233727,10993189,North America,0.04,02/11/2021,5326123,0.49,2020,69021,24.55
HONDURAS,375877,+99,10274,+18,116003,+64,249600,120,1016,1093901,10114827,North America,0.1,02/11/2021,2968472,0.3,2020,20861,23.50
S. KOREA,370640,+2666,2892,+18,336548,,31200,378,56,15804065,51328165,Asia,0.01,02/11/2021,584013,0.01,2020,1436668,
ETHIOPIA,365776,,6486,,341188,,18102,423,55,3709106,118758942,Africa,0.01,02/11/2021,1259077,0.01,2020,84583,22.20
MONGOLIA,362772,+1434,1767,+12,313256,,47749,192,528,4030048,3348739,Asia,0.05,02/11/2021,2139830,0.64,2020,11501,−0.70
LIBYA,359019,+556,5157,+18,301835,+1603,52027,,737,1802871,6996021,Africa,0.07,02/11/2021,442541,0.06,2020,22254,21.80
SLOVENIA,341699,+3454,4783,+17,307545,+2135,29371,111,2300,1745039,2079320,Europe,0.23,02/11/2021,1119181,0.53,2020,46918,08.90
MOLDOVA,341675,+1487,7912,+42,319891,+1364,13872,359,1967,2047217,4021428,Europe,0.2,02/11/2021,876595,0.33,2020,10431,09.45
EGYPT,332889,,18769,,279823,,34297,90,179,3693367,104909053,Africa,0.02,02/11/2021,10567410,0.1,2020,318022,22.10
ARMENIA,312674,+2045,6491,+50,273608,+1276,32575,,2185,2133721,2970646,Asia,0.22,02/11/2021,210247,0.07,2020,11067,07.15
OMAN,304318,+10,4112,+1,299670,+7,536,6,779,25000000,5279706,Asia,0.08,02/11/2021,2614847,0.59,2020,55479,25.60
