,ID,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases 1M pop,Deaths 1M pop,Total Tests,Tests 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
184,177,Eritrea,6.755,,43 ,,6.669,,43,,1.872,12,23.693,6.565,3.608.989 ,Africa,534,83.930,152,,,12
185,178,Sierra Leone,6.396,,121 ,,4.393,,1.882,,782,15,160.729,19.640,8.183.556 ,Africa,1.279,67.633,51,,,230
186,179,Guinea-Bissau,6.119,,141 ,,5.362,,616,,3.018,70,99.530,49.097,2.027.201 ,Africa,331,14.377,20,,,304
187,180,Niger,6.115,,204 ,,5.799,,112,,242,8,162.213,6.407,25.319.595 ,Africa,4.141,124.116,156,,,4
188,181,Liberia,5.801,,286 ,,5.458,,57,2,1.114,55,128.246,24.620,5.208.981 ,Africa,898,18.213,41,,,11
189,182,Gibraltar,5.682,+25,97 ,,5.456,+5,129,4,168.715,2.880,370.800,11.010.155,33.678 ,Europe,6,347,0,742,,3.830
190,183,Grenada,5.653,+27,183 ,+3,5.149,+71,321,,49.943,1.617,75.017,662.765,113.188 ,North America,20,619,2,239,27,2.836
191,184,Bermuda,5.501,,89 ,,4.600,,812,1,88.749,1.436,557.923,9.001.081,61.984 ,North America,11,696,0,,,13.100
192,185,San Marino,5.470,,91 ,,5.343,,36,2,160.778,2.675,80.733,2.372.965,34.022 ,Europe,6,374,0,,,1.058
193,186,Chad,5.059,,174 ,,4.866,,19,,297,10,147.563,8.667,17.025.260 ,Africa,3.365,97.846,115,,,1
194,187,New Zealand,4.704,+45,28 ,,4.182,+20,494,5,940,6,3.619.154,723.527,5.002.100 ,Australia/Oceania,1.063,178.646,1,9,,99
195,188,Sint Maarten,4.403,,69 ,,4.212,,122,10,101.225,1.586,53.105,1.220.889,43.497 ,North America,10,630,1,,,2.805
196,189,Comoros,4.169,+3,147 ,,3.998,+1,24,,4.668,165,,,893.186 ,Africa,214,6.076,,3,,27
197,190,St. Vincent Grenadines,4.096,,38 ,,2.693,,1.365,2,36.772,341,80.024,718.413,111.390 ,North America,27,2.931,1,,,12.254
198,191,Dominica,4.020,,26 ,,3.543,,451,,55.668,360,80.072,1.108.815,72.214 ,North America,18,2.777,1,,,6.245
199,192,Saint Martin,3.789,,55 ,,1.399,,2.335,7,95.909,1.392,54.303,1.374.551,39.506 ,North America,10,718,1,,,59.105
200,193,Antigua and Barbuda,3.750,,93 ,,2.667,,990,9,37.893,940,17.674,178.592,98.963 ,North America,26,1.064,6,,,10.004
201,194,Sao Tome and Principe,3.629,,56 ,,3.017,,556,,16.176,250,14.689,65.476,224.343 ,Africa,62,4.006,15,,,2.478
202,195,Liechtenstein,3.463,,60 ,,3.384,,19,1,90.493,1.568,49.126,1.283.736,38.268 ,Europe,11,638,1,,,496
203,196,Monaco,3.336,,33 ,,3.277,,26,2,84.249,833,54.960,1.387.984,39.597 ,Europe,12,1.200,1,,,657
204,197,Turks and Caicos,2.898,,23 ,,2.819,,56,1,73.581,584,94.789,2.406.728,39.385 ,North America,14,1.712,0,,,1.422
205,198,British Virgin Islands,2.725,,37 ,,2.649,,39,7,89.379,1.214,82.570,2.708.279,30.488 ,North America,11,824,0,,,1.279
206,199,Bhutan,2.613,,3 ,,2.605,+2,5,,3.340,4,1.171.208,1.496.860,782.443 ,Asia,299,260.814,1,,,6
207,200,Saint Kitts and Nevis,2.412,,19 ,,1.347,,1.046,1,44.934,354,46.717,870.303,53.679 ,North America,22,2.825,1,,,19.486
208,201,Caribbean Netherlands,2.257,,19 ,,2.064,,174,,85.061,716,25.579,964.008,26.534 ,North America,12,1.397,1,,,6.558
209,202,St. Barth,1.587,,6 ,,462,,1.119,,160.061,605,38.369,3.869.793,9.915 ,North America,6,1.653,0,,,112.859
210,203,Faeroe Islands,1.301,,2 ,,1.185,,114,,26.497,41,447.000,9.103.870,49.100 ,Europe,38,24.550,0,,,2.322
211,204,Cayman Islands,983,,2 ,,814,,167,,14.736,30,136.206,2.041.885,66.706 ,North America,68,33.353,0,,,2.504
212,205,Diamond Princess,712,,13 ,,699,,0,,,,,, ,,,,,,,
213,206,Greenland,630,+7, ,,573,,57,2,11.073,,79.543,1.398.042,56.896 ,North America,90,,1,123,,1.002
214,207,Anguilla,594,,1 ,,517,,76,,39.146,66,42.919,2.828.457,15.174 ,North America,26,15.174,0,,,5.009
215,208,Wallis and Futuna,445,,7 ,,438,,0,,40.502,637,20.508,1.866.570,10.987 ,Australia/Oceania,25,1.570,1,,,
216,209,Macao,77,, ,,64,,13,,117,,4.951,7.494,660.619 ,Asia,8.579,,133,,,20
217,210,Falkland Islands,68,, ,,67,,1,,18.842,,7.643,2.117.761,3.609 ,South America,53,,0,,,277
218,211,Montserrat,41,,1 ,,31,,9,,8.207,200,1.408,281.825,4.996 ,North America,122,4.996,4,,,1.801
219,212,Saint Pierre Miquelon,32,, ,,31,,1,,5.557,,9.997,1.736.193,5.758 ,North America,180,,1,,,174
220,213,Vatican City,27,, ,,27,,0,,33.582,,,,804 ,Europe,30,,,,,
221,214,Solomon Islands,20,, ,,20,,0,,28,,4.500,6.353,708.319 ,Australia/Oceania,35.416,,157,,,
222,215,Western Sahara,10,,1  ,,8,,1,,16,2,,,616.028 ,Africa,61.603,616.028,,,,2
223,216,MS Zaandam,9,,2 ,,7,,0,,,,,, ,,,,,,,
224,217,Palau,8,, ,,5,,3,,439,,10.852,596.133,18.204 ,Australia/Oceania,2.276,,2,,,165
225,218,Vanuatu,4,,1 ,,3,,0,,13,3,23.000,72.720,316.280 ,Australia/Oceania,79.070,316.280,14,,,
226,219,Marshall Islands,4,, ,,4,,0,,67,,,,59.700 ,Australia/Oceania,14.925,,,,,
227,220,Samoa,3,, ,,3,,0,,15,,,,200.096 ,Australia/Oceania,66.699,,,,,
228,221,Saint Helena,2,, ,,2,,0,,328,,,,6.100 ,Africa,3.050,,,,,
229,222,Micronesia,1,, ,,1,,0,,9,,,,116.561 ,Australia/Oceania,116.561,,,,,
230,223,China,96.435,+12,4.636 ,,91.130,+56,669,,67,3,160.000.000,111.163,1.439.323.776 ,Asia,14.925,310.467,9,0.01,,0.5
