,ID,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases 1M pop,Deaths 1M pop,Total Tests,Tests 1M pop,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
48,41,Vietnam,846.230,+2.949,20.763 ,+93,786.095,+1.347,39.372,,8.595,211,42.517.091,431.840,98.455.768 ,Asia,116,4.742,2,30,0.9,400
49,42,Jordan,835.969,+1.191,10.827 ,+9,811.013,+1.033,14.129,469,80.908,1.048,10.404.370,1.006.973,10.332.325 ,Asia,12,954,1,115,0.9,1.367
50,43,Hungary,829.911,+455,30.320 ,+17,789.322,+312,10.269,110,86.189,3.149,7.079.804,735.257,9.629.021 ,Europe,12,318,1,47,2,1.066
51,44,Nepal,803.552,+691,11.257 ,+14,777.741,+910,14.554,,26.961,378,4.303.231,144.382,29.804.406 ,Asia,37,2.648,7,23,0.5,488
52,45,Austria,763.928,+1.390,11.120 ,+14,733.437,+1.739,19.371,218,84.207,1.226,90.965.763,10.027.117,9.071.976 ,Europe,12,816,0,153,2,2.135
53,46,UAE,738.026,+136,2.115 ,+1,731.469,+174,4.442,,73.488,211,87.596.605,8.722.356,10.042.769 ,Asia,14,4.748,0,14,0.10,442
54,47,Tunisia,709.866,,25.039 ,,682.624,,2.203,205,59.272,2.091,2.995.453,250.114,11.976.337 ,Africa,17,478,4,,,184
55,48,Greece,682.394,+3.065,15.210 ,+33,640.590,+2.190,26.594,336,65.881,1.468,22.434.404,2.165.898,10.358.015 ,Europe,15,681,0,296,3,2.567
56,49,Georgia,640.358,+4.775,9.306 ,+37,603.995,+1.623,27.057,,160.919,2.339,9.344.485,2.348.222,3.979.388 ,Asia,6,428,0,1.200,9,6.799
57,50,Lebanon,630.382,,8.389 ,,604.324,,17.669,200,92.889,1.236,4.780.275,704.390,6.786.400 ,Asia,11,809,1,,,2.604
58,51,Guatemala,579.774,,14.066 ,,548.253,,17.455,5,31.616,767,2.686.758,146.515,18.337.715 ,North America,32,1.304,7,,,952
59,52,Belarus,561.753,+2.038,4.319 ,+15,535.790,+1.534,21.644,,59.474,457,8.903.439,942.626,9.445.354 ,Europe,17,2.187,1,216,2,2.291
60,53,Saudi Arabia,547.704,+55,8.751 ,+3,536.724,+46,2.229,122,15.426,246,29.484.705,830.442,35.504.815 ,Asia,65,4.057,1,2,0.08,63
61,54,Costa Rica,546.595,,6.698 ,,461.980,,77.917,390,106.064,1.300,2.394.098,464.562,5.153.454 ,North America,9,769,2,,,15.119
62,55,Sri Lanka,527.735,+671,13.377 ,+23,480.499,,33.859,,24.514,621,5.348.696,248.455,21.527.844 ,Asia,41,1.609,4,31,1,1.573
63,56,Bulgaria,524.333,,21.813 ,,450.662,,51.858,472,76.193,3.170,4.990.220,725.153,6.881.611 ,Europe,13,315,1,,,7.536
64,57,Ecuador,512.044,,32.848 ,,443.880,,35.316,759,28.471,1.826,1.871.255,104.048,17.984.494 ,South America,35,548,10,,,1.964
65,58,Bolivia,504.121,+199,18.803 ,+5,465.574,+497,19.744,220,42.449,1.583,2.445.030,205.880,11.876.001 ,South America,24,632,5,17,0.4,1.663
66,59,Azerbaijan,494.067,+1.277,6.692 ,+15,474.514,+724,12.861,,48.175,653,4.969.881,484.594,10.255.753 ,Asia,21,1.533,2,125,1,1.254
