Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Deaths 1M pop,Total Tests,Population,% Deaths COVID/Population,Date vaccinated,Fully vaccinated,% Fully vaccinated
HONG KONG,12273,,213,,11956,,104,,28,25906063,7574742,0.0,10/05/2021,689257,9.22%
SOUTH SUDAN,12134,,130,,11617,,387,2,11,238490,11361426,0.0,12/10/2021,31952,0.29%
SAINT LUCIA,12054,,231,,11050,,773,11,1251,82398,184700,0.13,12/10/2021,35745,19.56%
BARBADOS,11474,,101,,8935,,2438,,351,345246,287825,0.04,12/10/2021,111734,38.93%
GAMBIA,9943,,339,,9597,,7,3,135,103187,2503202,0.01,12/10/2021,171987,7.33%
BRUNEI,9472,,64,,7097,,2311,26,145,413169,442833,0.01,12/10/2021,211609,46.00%
SIERRA LEONE,6396,,121,,4393,,1882,,15,160729,8184001,0.0,12/10/2021,43907,0.56%
NIGER,6122,,204,,5823,,95,,8,162726,25322004,0.0,17/04/2021,0,
GRENADA,5653,,183,,5149,,321,,1617,75017,113190,0.16,12/10/2021,26333,23.51%
SAN MARINO,5470,,91,,5343,,36,2,2675,80733,34022,0.27,12/10/2021,24440,71.88%
NEW ZEALAND,4759,+55,28,,4184,+2,547,5,6,3644954,5002100,0.0,12/10/2021,2439100,47.92%
COMOROS,4173,+4,147,,4008,+10,18,,165,,893237,0.02,21/04/2021,0,
ST. VINCENT GRENADINES,4096,,38,,2693,,1365,2,341,80024,111391,0.03,12/10/2021,13782,12.46%
DOMINICA,4086,,27,,3732,,327,,374,81232,72215,0.04,12/10/2021,21797,30.35%
SAO TOME AND PRINCIPE,3639,,56,,3036,,547,,250,14689,224354,0.02,12/10/2021,27511,12.79%
LIECHTENSTEIN,3468,+4,60,,3389,+2,19,,1568,49126,38268,0.16,12/10/2021,23015,58.93%
MONACO,3337,,33,,3278,,26,2,833,54960,39598,0.08,12/10/2021,23308,59.82%
BHUTAN,2613,,3,,2605,,5,,4,1171208,782466,0.0,12/10/2021,498294,65.30%
SAINT KITTS AND NEVIS,2435,,20,,1431,,984,1,373,47181,53680,0.04,12/10/2021,22809,43.17%
SOLOMON ISLANDS,20,,0,,20,,0,,,4500,708366,0.0,12/10/2021,25444,3.80%
PALAU,8,,0,,5,,3,,,10852,18204,0.0,12/10/2021,,
MARSHALL ISLANDS,4,,0,,4,,0,,,,59701,0.0,12/10/2021,,
SAMOA,3,,0,,3,,0,,,,200100,0.0,03/05/2021,0,
MICRONESIA,1,,0,,1,,0,,,,116564,0.0,12/10/2021,,
CHINA,96457,+22,4636,,91176,+46,645,,3,160000000,1439323776,0.0,12/10/2021,1047872000,74.85%
